 ,Label,Area,Mean,StdDev,Mode,Min,Max,X_COM,Y_COM,Major,Minor,Angle,IntDen,Median,RawIntDen,Slice,EV no
3,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:330,0,37140,0,37140,37140,37140,139.167,269.167,1.128,1.128,0,37140,37140,37140,330,3
4,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:331,0,37669,0,37669,37669,37669,186.167,251.167,1.128,1.128,0,37669,37669,37669,331,3
5,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:332,0,36660,0,36660,36660,36660,231.167,230.5,1.128,1.128,0,36660,36660,36660,332,3
6,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:333,0,37082,0,37082,37082,37082,271.167,212.5,1.128,1.128,0,37082,37082,37082,333,3
7,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:334,0,37651,0,37651,37651,37651,312.5,191.5,1.128,1.128,0,37651,37651,37651,334,3
8,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:335,0,38170,0,38170,38170,38170,351,171.5,1.128,1.128,0,38170,38170,38170,335,3
9,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:336,0,38024,0,38024,38024,38024,389,149.75,1.128,1.128,0,38024,38024,38024,336,3
10,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:337,0,38221,0,38221,38221,38221,424.25,126.75,1.128,1.128,0,38221,38221,38221,337,3
11,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:338,0,37429,0,37429,37429,37429,459,104,1.128,1.128,0,37429,37429,37429,338,3
12,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:339,0,37914,0,37914,37914,37914,489.75,79.25,1.128,1.128,0,37914,37914,37914,339,3
13,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:340,0,38136,0,38136,38136,38136,519.25,53.5,1.128,1.128,0,38136,38136,38136,340,3
14,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:341,0,38687,0,38687,38687,38687,548,30,1.128,1.128,0,38687,38687,38687,341,3
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:359,0,37413,0,37413,37413,37413,214.75,557,1.128,1.128,0,37413,37413,37413,359,4
2,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:360,0,36558,0,36558,36558,36558,251.25,551.75,1.128,1.128,0,36558,36558,36558,360,4
3,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:361,0,37151,0,37151,37151,37151,287.5,547.75,1.128,1.128,0,37151,37151,37151,361,4
4,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:362,0,37233,0,37233,37233,37233,321.5,542.25,1.128,1.128,0,37233,37233,37233,362,4
5,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:363,0,38232,0,38232,38232,38232,352.5,537.5,1.128,1.128,0,38232,38232,38232,363,4
6,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:364,0,38210,0,38210,38210,38210,386.5,532.25,1.128,1.128,0,38210,38210,38210,364,4
7,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:365,0,38239,0,38239,38239,38239,416,527,1.128,1.128,0,38239,38239,38239,365,4
8,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:366,0,38783,0,38783,38783,38783,443,521.5,1.128,1.128,0,38783,38783,38783,366,4
9,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:367,0,38817,0,38817,38817,38817,471.75,516.75,1.128,1.128,0,38817,38817,38817,367,4
10,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:368,0,39353,0,39353,39353,39353,496.5,509.5,1.128,1.128,0,39353,39353,39353,368,4
11,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:369,0,39345,0,39345,39345,39345,521,503.25,1.128,1.128,0,39345,39345,39345,369,4
12,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:370,0,39883,0,39883,39883,39883,545.25,497.25,1.128,1.128,0,39883,39883,39883,370,4
13,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:371,0,39980,0,39980,39980,39980,569.75,490.5,1.128,1.128,0,39980,39980,39980,371,4
14,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:372,0,40375,0,40375,40375,40375,593.25,483.25,1.128,1.128,0,40375,40375,40375,372,4
15,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:373,0,38438,0,38438,38438,38438,616.25,477.5,1.128,1.128,0,38438,38438,38438,373,4
16,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:374,0,39082,0,39082,39082,39082,636.25,468.5,1.128,1.128,0,39082,39082,39082,374,4
17,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:375,0,38357,0,38357,38357,38357,655.5,463,1.128,1.128,0,38357,38357,38357,375,4
18,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:376,0,38962,0,38962,38962,38962,675.5,453,1.128,1.128,0,38962,38962,38962,376,4
19,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:377,0,38562,0,38562,38562,38562,697,444.25,1.128,1.128,0,38562,38562,38562,377,4
20,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:378,0,38624,0,38624,38624,38624,712.75,438,1.128,1.128,0,38624,38624,38624,378,4
21,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:381,0,38512,0,38512,38512,38512,760.833,409.833,1.128,1.128,0,38512,38512,38512,381,4
