 ,Label,Area,Mean,StdDev,Mode,Min,Max,X_COM,Y_COM,Major,Minor,Angle,IntDen,Median,RawIntDen,Slice
34,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:37,0,49015,0,49015,49015,49015,270.333,809.833,1.128,1.128,0,49015,49015,49015,37
35,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:38,0,49151,0,49151,49151,49151,261.5,821.333,1.128,1.128,0,49151,49151,49151,38
36,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:39,0,47582,0,47582,47582,47582,253.167,834.667,1.128,1.128,0,47582,47582,47582,39
37,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:40,0,48644,0,48644,48644,48644,246.167,846.333,1.128,1.128,0,48644,48644,48644,40
38,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:41,0,48826,0,48826,48826,48826,239.333,860.667,1.128,1.128,0,48826,48826,48826,41
39,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:42,0,49280,0,49280,49280,49280,232.667,875.167,1.128,1.128,0,49280,49280,49280,42
40,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:43,0,48834,0,48834,48834,48834,226.5,891,1.128,1.128,0,48834,48834,48834,43
41,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:44,0,49711,0,49711,49711,49711,220.5,906.333,1.128,1.128,0,49711,49711,49711,44
42,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:45,0,49588,0,49588,49588,49588,214.333,923.667,1.128,1.128,0,49588,49588,49588,45
43,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:46,0,48432,0,48432,48432,48432,208.333,942.833,1.128,1.128,0,48432,48432,48432,46
44,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:47,0,49228,0,49228,49228,49228,203,960.333,1.128,1.128,0,49228,49228,49228,47
45,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:48,0,49272,0,49272,49272,49272,197.667,981.333,1.128,1.128,0,49272,49272,49272,48
46,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:49,0,49513,0,49513,49513,49513,192.5,1001.833,1.128,1.128,0,49513,49513,49513,49
47,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:50,0,48691,0,48691,48691,48691,188.833,1023.167,1.128,1.128,0,48691,48691,48691,50
48,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:51,0,48052,0,48052,48052,48052,183.5,1048,1.128,1.128,0,48052,48052,48052,51
49,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:53,0,48244,0,48244,48244,48244,176.333,1098.667,1.128,1.128,0,48244,48244,48244,53
50,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:54,0,48549,0,48549,48549,48549,173,1126.25,1.128,1.128,0,48549,48549,48549,54
51,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:55,0,47839,0,47839,47839,47839,170.125,1156.375,1.128,1.128,0,47839,47839,47839,55
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:34,0,44283,0,44283,44283,44283,914.167,607,1.128,1.128,0,44283,44283,44283,34
2,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:35,0,43572,0,43572,43572,43572,875.333,608,1.128,1.128,0,43572,43572,43572,35
3,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:36,0,44544,0,44544,44544,44544,837.833,608.667,1.128,1.128,0,44544,44544,44544,36
4,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:37,0,44509,0,44509,44509,44509,802.167,609.833,1.128,1.128,0,44509,44509,44509,37
5,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:38,0,45929,0,45929,45929,45929,768.833,613,1.128,1.128,0,45929,45929,45929,38
6,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:39,0,46210,0,46210,46210,46210,737.5,614,1.128,1.128,0,46210,46210,46210,39
7,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:40,0,46428,0,46428,46428,46428,707.333,614.333,1.128,1.128,0,46428,46428,46428,40
8,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:41,0,47583,0,47583,47583,47583,679,617.333,1.128,1.128,0,47583,47583,47583,41
9,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:42,0,48353,0,48353,48353,48353,650.167,619.5,1.128,1.128,0,48353,48353,48353,42
10,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:43,0,50681,0,50681,50681,50681,625.833,621.333,1.128,1.128,0,50681,50681,50681,43
11,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:44,0,51613,0,51613,51613,51613,599.833,623.167,1.128,1.128,0,51613,51613,51613,44
12,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:45,0,50324,0,50324,50324,50324,575,624.167,1.128,1.128,0,50324,50324,50324,45
13,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:46,0,49470,0,49470,49470,49470,554,626,1.128,1.128,0,49470,49470,49470,46
14,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:47,0,48384,0,48384,48384,48384,531.5,627.833,1.128,1.128,0,48384,48384,48384,47
15,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:48,0,47913,0,47913,47913,47913,511,629.5,1.128,1.128,0,47913,47913,47913,48
