ParticleID,NumberofFramesPresent,Label,Intensity,X_COM,Y_COM,X_COM(rounded),Y_COM(rounded),Slice
1,1,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:264,27114,864.0006193,900.0002557,864,900,264
1,2,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:267,26224,915.7477602,929.7476188,916,930,267
1,3,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:268,26145,932.2522664,940.9998416,932,941,268
1,4,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:269,26253,947.747437,951.5044084,948,952,269
1,5,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:270,26093,964.7472653,962.5042973,965,963,270
1,6,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:271,26087,978.2518018,974.2518422,978,974,271
1,7,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:272,26242,991.9993265,984.2517412,992,984,272
1,8,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:273,26910,1006.999175,996.7469421,1007,997,273
1,9,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:274,26915,1020.999034,1009.251489,1021,1009,274
1,10,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:275,27092,1035.50356,1020.503712,1036,1021,275
1,11,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:276,26973,1047.166994,1034.50357,1047,1035,276
1,12,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:277,26168,1061.99862,1047.998761,1062,1048,277
1,13,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:278,26560,1073.503176,1060.335085,1074,1060,278
2,1,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:231,27228,101.75,538.25,102,538,231
2,2,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:232,27384,136.75,539.25,137,539,232
2,3,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:235,26666,236,544.75,236,545,235
2,4,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:237,26059,298,548.25,298,548,237
2,5,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:238,26578,328.875,549.125,329,549,238
2,6,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:239,26745,358.75,551.375,359,551,239
2,7,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:240,27171,386.625,554.5,387,555,240
2,8,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:241,27785,415.125,555.875,415,556,241
2,9,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:242,27745,442.25,558.5,442,559,242
2,10,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:243,28006,470.25,561.375,470,561,243
2,11,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:244,28508,495.625,564.375,496,564,244
2,12,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:245,28854,520.875,566.875,521,567,245
2,13,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:246,29093,547.625,569.625,548,570,246
2,14,xslot_HCC1954_01_500uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:247,29414,572.375,572.25,572,572,247
